Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestH,Chrome 62.0.3202.94,,2018-05-09 23:51:54,2018-05-09 23:53:02,1m - 7.924s,PASSED
,,,,,,
Test Cases/TestH,Chrome 62.0.3202.94,"When the user enters the Products page, and clicked at the add to cart button, the button will be changed to already added, and the number of selected products is shown next to the Carts menu",2018-05-09 23:51:55,2018-05-09 23:52:29,33.966s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-09 23:51:56,2018-05-09 23:52:07,10.937s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-09 23:52:07,2018-05-09 23:52:17,10.145s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 23:52:17,2018-05-09 23:52:20,2.563s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 23:52:20,2018-05-09 23:52:20,0.184s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:20,2018-05-09 23:52:20,0.517s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:20,2018-05-09 23:52:24,3.382s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:24,2018-05-09 23:52:24,0.726s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:24,2018-05-09 23:52:25,0.272s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.057s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.088s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.032s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.095s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.032s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.097s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.044s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:25,0.326s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:25,2018-05-09 23:52:26,0.123s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:26,2018-05-09 23:52:26,0.224s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:26,2018-05-09 23:52:26,0.071s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:26,2018-05-09 23:52:26,0.219s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:26,2018-05-09 23:52:26,0.288s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-09 23:52:26,2018-05-09 23:52:29,2.772s,PASSED
,,,,,,
Test Cases/TestH,Chrome 62.0.3202.94,"When the user enters the Products page, and clicked at the add to cart button, the button will be changed to already added, and the number of selected products is shown next to the Carts menu",2018-05-09 23:52:29,2018-05-09 23:52:46,16.559s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-09 23:52:29,2018-05-09 23:52:34,5.107s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-09 23:52:34,2018-05-09 23:52:40,6.003s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 23:52:40,2018-05-09 23:52:41,0.245s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 23:52:41,2018-05-09 23:52:41,0.190s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:41,2018-05-09 23:52:41,0.141s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:41,2018-05-09 23:52:43,1.981s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:43,0.091s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:43,0.154s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:43,0.056s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:43,0.152s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:43,0.036s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:43,0.097s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:43,2018-05-09 23:52:44,0.039s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.098s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.037s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.179s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.058s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.062s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.069s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.063s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:44,0.074s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-09 23:52:44,2018-05-09 23:52:46,1.550s,PASSED
,,,,,,
Test Cases/TestH,Chrome 62.0.3202.94,"When the user enters the Products page, and clicked at the add to cart button, the button will be changed to already added, and the number of selected products is shown next to the Carts menu",2018-05-09 23:52:46,2018-05-09 23:53:02,16.254s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-09 23:52:46,2018-05-09 23:52:52,5.614s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-09 23:52:52,2018-05-09 23:52:57,5.383s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 23:52:57,2018-05-09 23:52:57,0.238s,PASSED
