Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestJ,Chrome 62.0.3202.94,,2018-05-10 13:07:38,2018-05-10 13:08:21,42.458s,PASSED
,,,,,,
Test Cases/TestJ,Chrome 62.0.3202.94,"When the user clicks logout button, the system will return to the login page",2018-05-10 13:07:39,2018-05-10 13:07:56,17.724s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 13:07:39,2018-05-10 13:07:44,5.003s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 13:07:44,2018-05-10 13:07:53,8.912s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 13:07:53,2018-05-10 13:07:54,0.492s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 13:07:54,2018-05-10 13:07:54,0.279s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 13:07:54,2018-05-10 13:07:54,0.183s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 13:07:54,2018-05-10 13:07:55,1.225s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 13:07:55,2018-05-10 13:07:55,0.094s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 13:07:55,2018-05-10 13:07:56,0.990s,PASSED
,,,,,,
Test Cases/TestJ,Chrome 62.0.3202.94,"When the user clicks logout button, the system will return to the login page",2018-05-10 13:07:56,2018-05-10 13:08:09,12.952s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 13:07:57,2018-05-10 13:07:59,2.300s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 13:07:59,2018-05-10 13:08:07,7.712s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 13:08:07,2018-05-10 13:08:07,0.235s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 13:08:07,2018-05-10 13:08:07,0.219s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 13:08:07,2018-05-10 13:08:07,0.142s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 13:08:07,2018-05-10 13:08:08,1.215s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 13:08:08,2018-05-10 13:08:08,0.073s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 13:08:08,2018-05-10 13:08:09,1.013s,PASSED
,,,,,,
Test Cases/TestJ,Chrome 62.0.3202.94,"When the user clicks logout button, the system will return to the login page",2018-05-10 13:08:09,2018-05-10 13:08:21,11.271s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 13:08:09,2018-05-10 13:08:12,2.225s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 13:08:12,2018-05-10 13:08:18,6.223s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 13:08:18,2018-05-10 13:08:18,0.235s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 13:08:18,2018-05-10 13:08:18,0.157s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 13:08:18,2018-05-10 13:08:18,0.143s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 13:08:18,2018-05-10 13:08:20,1.206s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 13:08:20,2018-05-10 13:08:20,0.063s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 13:08:20,2018-05-10 13:08:21,0.989s,PASSED
