Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestK,Chrome 62.0.3202.94,,2018-05-10 15:30:17,2018-05-10 15:30:55,38.279s,PASSED
,,,,,,
Test Cases/TestK,Chrome 62.0.3202.94,"If the user login to the admin page, when open the \u201CTotal Transaction\u201D menu, all the carts, which have been added must be shown with the summaries of all carts.",2018-05-10 15:30:20,2018-05-10 15:30:55,34.926s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 15:30:21,2018-05-10 15:30:38,16.922s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 15:30:38,2018-05-10 15:30:50,12.401s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 15:30:50,2018-05-10 15:30:51,0.639s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 15:30:51,2018-05-10 15:30:51,0.242s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 15:30:51,2018-05-10 15:30:51,0.276s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 15:30:51,2018-05-10 15:30:53,1.444s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 15:30:53,2018-05-10 15:30:53,0.722s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 15:30:53,2018-05-10 15:30:53,0.093s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 15:30:53,2018-05-10 15:30:54,0.119s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 15:30:54,2018-05-10 15:30:54,0.083s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 15:30:54,2018-05-10 15:30:55,1.433s,PASSED
